"studienjahr_kurzbz","Gesamt","Inland","Ausland","KeineZGV","Inland 2Stg","Ausland 2Stg","Inland 3Stg","Ausland 3Stg","Inland >3Stg","Ausland >3Stg"
"2001/02","9","0","0","9","0","0","0","0","0","0"
"2003/04","93","0","0","93","0","0","0","0","0","0"
"2004/05","944","2","0","942","0","0","0","0","0","0"
"2005/06","1982","2","0","1980","1","0","0","0","0","0"
"2006/07","3075","6","0","3069","0","0","0","0","0","0"
"2007/08","3998","20","0","3978","0","0","0","0","0","0"
"2008/09","4194","23","2","4169","0","0","0","0","0","0"
"2009/10","4349","78","4","4267","2","0","0","0","0","0"
"2010/11","4326","153","43","4130","0","0","0","0","0","0"
"2011/12","5084","1385","237","3462","25","6","1","0","0","0"
"2012/13","5399","1837","427","3135","121","16","8","1","0","0"
"2013/14","6766","2073","632","4061","157","21","12","1","1","0"
"2014/15","2680","312","91","2277","6","4","1","0","0","0"
"2015/16","60","2","0","58","0","0","0","0","0","0"
"2016/17","5","0","0","5","0","0","0","0","0","0"
